Product Title,Price,% Off,Discount Code,Amazon_link,
"Artificial Christmas Tree,Classic Pine Fir Pencil Tree 5/6/7 FT",$39.99,50%,503TOWHI,https://www.amazon.com/promocode/A317SVOKRSTVG0?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
TEMPCORE Christmas Red Cat Bed S,$17.98,50%,507JOYG7,https://www.amazon.com/promocode/A3213L3ZPUBD0?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
BenSorts Winter Boots for Womens Fur Lined Anti-Slip Warm Snow Boots Outdoor Ankle Booties Pink Size 5.5,$24.19,45%,45IXBPW2,https://www.amazon.com/promocode/A144R1YRM85AE1?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Baby Playmat for Crawling, 0.6in Extra Large Foldable Play Mat for Baby, Waterproof Non Toxic Anti-Slip Reversible Foam Playmat for Baby Toddlers Kids",$45.49,30%,305VJB5R,https://www.amazon.com/promocode/A2F7090ZWCIRUO?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Brothers-ALL-Natural Fruit Crisps, Variety Pack, 4.44 Ounce Bag, 12 Count (Pack of 2)",$21.59,20%,20HUNGRYBRO,https://www.amazon.com/promocode/A1OMGIKJ3A66B6?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"AULLSUMY Portable Power Station, 280Wh Backup Lithium Battery, 300W/110V Pure Sine Wave AC Outlet, Solar Generator For Outdoor Camping Travel Home Emergency Power Supply",$172.19,30%,30IONGIN,https://www.amazon.com/promocode/AD5CATQYCJHY?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Gifts for Dad from Daughter son,Tactical Pen Engraved”LOVE MY DAD”,Christmas Stocking Stuffers,Father’s Day Gifts for Dad,Cool Valentines Day Birthday Gifts for Dad Who Has Everything.",$7.49,70%,70I89B1A,https://www.amazon.com/promocode/ASSI0I3UHM9AU?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
faerdasi Womens Ruffled One Piece with Crisscross Side Straps Swimsuit Flattering Bathing Suit Black,$9.99,75%,75NG4W9D,https://www.amazon.com/promocode/A25ELP5KL3UHQL?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
KIKET Magnetic Leather Case [1x Magnetic Black Leather Wallet Card Holder] Designed for iPhone 12 Pro Max Case [Mil-Grade Drop Tested] [Kickstand Feature] Compatible with All MagSafe Accessories,$13.49,50%,503NEFP5,https://www.amazon.com/promocode/A3EMXHIL0L9GKQ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Pleated Midi Skirt, Long Pleated Skirts for Women, Womens Pleated Skirt, Skirts for Women Midi Length, Midi Pleated Skirt Fluorescent Yellow S",$7.49,75%,75LZYPMG,https://www.amazon.com/promocode/A3DLVD1LXWZPOV?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
